Year/Semester,Meeting #,Title,Prep Homework,Agenda Item Title,Agenda Item Details,To Do Item,Roadmap One-Line Description,Content
Pre-9th Grade. 2nd Sem.,1,Parent Kickoff,FOR PARENTS: 1. Complete Intake Questionnaire (parents),Review intake questionnaire,Review intake questionnaire. If other needs are uncovered during this conversation connect family to their Strategist to evaluate what additional support is needed. ,FOR PARENTS: Optional - Listen to Get Wise Podcast. Episode 1 & 2,"In this meeting, reserved just for parent and counselor, we’ll learn more about your family’s priorities so we can develop an admissions plan that will help you reach your specific goals.",Intake Questionnaire (parent). Welcome to Collegewise video (parent). Character Counts. Podcast Ep 1 & 2
,,,FOR PARENTS: 1. Watch Welcome to Collegewise (parent).                                                          2. Watch Character Counts,Discuss cadence of the program,,,,
,,,,UMS communication,Best way to communicate via UMS including a tutorial of the system ,,,
,,,,,,,,
Pre-9th Grade. 2nd Sem.,2,Student Kickoff,1. Complete Getting to Know You (students) 2. Watch Welcome to Collegewise video (student).                                                          3. Watch Character Counts,Review Getting to Know You Questionnaire,,,"We’ll use this meeting to get to know you—your goals, your concerns, your personality, and your values. And together we’ll create a foundation for a smooth, successful journey to college.  ",Getting to Know You (student). Welcome to Collegewise (student). Character Counts
,,,"1. Compile and send relevant academic information: transcripts, test scores, etc",Review transcript,"Review transcript to-date. What are they taking, how are they going, etc. ",,,
,,,,Evaluate academic performance & study skills,Evaluate academic performance and study skills and identify any necessary tutoring support needed. ,,,
,,,,,,,,
Pre-9th Grade. 2nd Sem.,3,4 Year Course Planning,"1. Watch What do colleges evaluate from 9th and 10th grade?                                              
",Discuss course selection in relation to college admission,"Discuss why course selection, rigor, and performance matter in the admissions process. Discuss the importance of classroom engagement. Ask about how they are learning outside the classroom and what ways they learn best. ",,"We’ll help you plan afour-year course plan that challenges you, plays to your strengths, and leads to maximum academic opportunities in high school.  ",What do colleges evaluate from 9th and 10th grade.
,,,"1. Next meeting, we’ll be doing an academic inventory. We’ll talk about your favorite class/teachers, strengths, struggles, level of interest in certain subjects, best/worst academic moments and what you learned from it, etc. If it would help to take notes beforehand, you can do so here. (have empty text box to enter notes)                                                                                                                                        ",4-year Course Plan,1. Discuss their academic inventory and takeaways                                                                                      2. Discuss and finalize proposed 4-year plan ,,,
,,,,9th Grade Schedule,Confirm 9th grade schedule of classes,,,
,,,,,,,,
Pre-9th Grade. Summer.,4,Assessing your Strengths,Complete Strength Finders,Review Strength Finders results,Review Strength Finders results. Discuss implications of results – how and where they can influence and create impact ,,Happy and successful high school students know their strengths and how to use them. We’ll help you identify yours so you can thrive by doing more of what you do best.  ,Strength Finders. Goal Setting Progress Report
,,,,Goal Setting Progress Report,Fill out goals in the Goal Setting Progress Report. Set benchmark dates to check in on progress ,,,
,,,,,,,,
9th Grade. 1st Sem.,5,Summer Planning (Summer before 10th),1. Read summer planning blog posts: 50 Ways to Spend a Summer & Summer plans: what do you want to do?                                 2. Read College Summer Planning Guide through page 13                                              3. Writing Assignment: Who is an adult (not part of your family) who influenced you greatly and how have they done so?,Summer Planning,Summer Planning. Make sure to start the conversation based on the student's current interests -- academic and extracurricular. How would they expand an existing interest or test a new one? ,,“What are you doing this summer?” We’ll explore potential answers to this question and help you create an appropriate summer plan that you’re excited about.,50 Ways to Spend a Summer & Summer plans: what do you want to do? Blogpost. College Summer Planning Guide. College Visits Overview
,,,,Summer Research,"Assign ideas to research (either in the Planning Guide after page 13, or specific to their interests). ",,,
,,,,Summer Programs,Share a few specific programs with families that would be a good match for the student. ,,,
,,,Watch College Visits Overview,Summer College Visits,Identify college visit opportunities in conjunction with existing family travel plans ,,,
,,,,,,,,
9th Grade. 2nd Sem.,6,Academics & 10th Grade Course Selection,"1. Watch What do colleges evaluate from 9th and 10th grade?                                              2. Watch Podcast Summary Video: Every year of high school matters
",Discuss course selection in relation to college admission,"Discuss why course selection, rigor, and performance matter in the admissions process. Discuss the importance of classroom engagement. Ask about how they are learning outside the classroom and what ways they learn best. ",FOR PARENTS: Read Making Caring Common,"We’ll help you plan a course schedule that challenges you, plays to your strengths, and leads to maximum academic opportunities in high school.  ",What do colleges evaluate from 9th and 10th grade. Podcast Summary Video: Every year of high school matters. Making Caring Common. Goal Setting Progress Report.
,,,"1. Next meeting, we’ll be doing an academic inventory. We’ll talk about your favorite class/teachers, strengths, struggles, level of interest in certain subjects, best/worst academic moments and what you learned from it, etc. If it would help to take notes beforehand, you can do so here. (have empty text box to enter notes)                                    2. Fill in the Coursework section with all final grades from 9th.                                              3. Build out a preliminary 4-year course plan under the Course Planning tab in the Academic section. What would you take each year?                                                                4. Writing Assignment: What’s a book that you believe everyone you know should read and why?",4-year Course Plan,1. Discuss their academic inventory and takeaways                                                                                      2. Discuss and finalize proposed 4-year plan ,,,
,,,,10th Grade Schedule,Confirm 10th grade schedule of classes,,,
,,,,Status check-in: Goal Setting Progress Report,Counselor to add written updates on student’s progress ,,,
,,,,,,,,
