Meeting Name,Meeting Key,Meeting Description,Grade,Semester,Agenda Item Key,Agenda Item Title,Dont Create With Roadmap,Agenda Item Counselor Instructions,Meeting Counselor Instructions,Task Key,Task Name,Task Description,Task Type,Task User Type,Form,Repeats,Content
Parent Kickoff,comprehensive_10_2-parent-kickoff-10-2,"In this meeting, reserved just for parent and counselor, we’ll learn more about your family’s priorities so we can develop an admissions plan that will help you reach your specific goals.",10,2,comprehensive_10_2-review-intake-questionnaire,Review intake questionnaire,,Review intake questionnaire. If other needs are uncovered during this conversation connect family to their Strategist to evaluate what additional support is needed. ,,comprehensive-10-2 Complete Intake Questionnaire (parents),Complete Intake Questionnaire (parents),,pre,parent,Parent Intake Questionnaire,,Intake Questionnaire (parent). Welcome to Collegewise video (parent). Character Counts. Podcast Ep 1 & 2
Parent Kickoff,comprehensive_10_2-parent-kickoff-10-2,"In this meeting, reserved just for parent and counselor, we’ll learn more about your family’s priorities so we can develop an admissions plan that will help you reach your specific goals.",10,2,comprehensive_10_2-review-intake-questionnaire,Review intake questionnaire,,Review intake questionnaire. If other needs are uncovered during this conversation connect family to their Strategist to evaluate what additional support is needed. ,,comprehensive-10-2 Optional - Listen to Get Wise Podcast. Episode 1 & 2,Optional - Listen to Get Wise Podcast. Episode 1 & 2,,post,parent,,,Intake Questionnaire (parent). Welcome to Collegewise video (parent). Character Counts. Podcast Ep 1 & 2
Parent Kickoff,comprehensive_10_2-parent-kickoff-10-2,,10,2,comprehensive_10_2-discuss-cadence-of-the-program,Discuss cadence of the program,,,,comprehensive-10-2 Watch Welcome to Collegewise (parent).,Watch Welcome to Collegewise (parent).,,pre,parent,,,
Parent Kickoff,comprehensive_10_2-parent-kickoff-10-2,,10,2,comprehensive_10_2-discuss-cadence-of-the-program,Discuss cadence of the program,,,,comprehensive-10-2 Watch Character Counts,Watch Character Counts,,pre,parent,,,
Parent Kickoff,comprehensive_10_2-parent-kickoff-10-2,,10,2,comprehensive_10_2-wisernet-communication,UMS communication,,Best way to communicate via UMS including a tutorial of the system ,,,,,,,,,
Student Kickoff,comprehensive_10_2-student-kickoff-10-2,"We’ll use this meeting to get to know you—your goals, your concerns, your personality, and your values. And together we’ll create a foundation for a smooth, successful journey to college.  ",10,2,comprehensive_10_2-review-getting-to-know-you-questionnaire,Review Getting to Know You Questionnaire,,,,comprehensive-10-2 Complete Getting to Know You (students),Complete Getting to Know You (students),,pre,student,Getting To Know You!,,Getting to Know You (student). Welcome to Collegewise (student). Character Counts
Student Kickoff,comprehensive_10_2-student-kickoff-10-2,"We’ll use this meeting to get to know you—your goals, your concerns, your personality, and your values. And together we’ll create a foundation for a smooth, successful journey to college.  ",10,2,comprehensive_10_2-review-getting-to-know-you-questionnaire,Review Getting to Know You Questionnaire,,,,comprehensive-10-2 Watch Welcome to Collegewise video (student).,Watch Welcome to Collegewise video (student).,,pre,student,,,Getting to Know You (student). Welcome to Collegewise (student). Character Counts
Student Kickoff,comprehensive_10_2-student-kickoff-10-2,"We’ll use this meeting to get to know you—your goals, your concerns, your personality, and your values. And together we’ll create a foundation for a smooth, successful journey to college.  ",10,2,comprehensive_10_2-review-getting-to-know-you-questionnaire,Review Getting to Know You Questionnaire,,,,comprehensive-10-2 Watch Character Counts,Watch Character Counts,,pre,student,,,Getting to Know You (student). Welcome to Collegewise (student). Character Counts
Student Kickoff,comprehensive_10_2-student-kickoff-10-2,,10,2,comprehensive_10_2-review-transcript,Review transcript,,"Review transcript to-date. What are they taking, how are they going, etc. ",,"comprehensive-10-2 Compile and send relevant academic information: transcripts, test scores, etc","Compile and send relevant academic information: transcripts, test scores, etc",,pre,student,,,
Student Kickoff,comprehensive_10_2-student-kickoff-10-2,,10,2,comprehensive_10_2-evaluate-academic-performance-study-skills,Evaluate academic performance & study skills,,Evaluate academic performance and study skills and identify any necessary tutoring support needed. ,,,,,,,,,
Assessing your Strengths,comprehensive_10_2-assessing-your-strengths-10-2,Happy and successful high school students know their strengths and how to use them. We’ll help you identify yours so you can thrive by doing more of what you do best.  ,10,2,comprehensive_10_2-review-strength-finders-results,Review Strength Finders results,,Review Strength Finders results. Discuss implications of results – how and where they can influence and create impact ,,comprehensive-10-2 Complete Strength Finders,Complete Strength Finders,,pre,student,,,Strength Finders. Goal Setting Progress Report
Assessing your Strengths,comprehensive_10_2-assessing-your-strengths-10-2,,10,2,comprehensive_10_2-goal-setting-progress-report,Goal Setting Progress Report,,Fill out goals in the Goal Setting Progress Report. Set benchmark dates to check in on progress ,,,,,,,,,
Explore Activities,comprehensive_10_2-explore-activities-10-2,"Your counselor will review your current activities to gauge your level of enjoyment, initiative, and impact—the same criteria that colleges will use when they evaluate your applications.",10,2,comprehensive_10_2-activity-exploration,Activity exploration,,"Review the activity section and see what might have been left off. Start to ask questions about what they would continue or drop, given the chance. Use guide of questions to have an in-depth conversation. Look to seek opportunities to demonstrate initiative, impact, passion and leadership ",,comprehensive-10-2 Fill in Activity section in UMS,Fill in Activity section in UMS,,pre,student,,,Community Service is not about the hours. Podcast Summary Video: You don't need a title to be a leader. Blogpost on evaluating activities
Explore Activities,comprehensive_10_2-explore-activities-10-2,"Your counselor will review your current activities to gauge your level of enjoyment, initiative, and impact—the same criteria that colleges will use when they evaluate your applications.",10,2,comprehensive_10_2-activity-exploration,Activity exploration,,"Review the activity section and see what might have been left off. Start to ask questions about what they would continue or drop, given the chance. Use guide of questions to have an in-depth conversation. Look to seek opportunities to demonstrate initiative, impact, passion and leadership ",,comprehensive-10-2 Watch Podcast Summary Video Community Service is not about the hours,Watch Podcast Summary Video Community Service is not about the hours,,pre,student,,,Community Service is not about the hours. Podcast Summary Video: You don't need a title to be a leader. Blogpost on evaluating activities
Explore Activities,comprehensive_10_2-explore-activities-10-2,"Your counselor will review your current activities to gauge your level of enjoyment, initiative, and impact—the same criteria that colleges will use when they evaluate your applications.",10,2,comprehensive_10_2-activity-exploration,Activity exploration,,"Review the activity section and see what might have been left off. Start to ask questions about what they would continue or drop, given the chance. Use guide of questions to have an in-depth conversation. Look to seek opportunities to demonstrate initiative, impact, passion and leadership ",,comprehensive-10-2 Watch Podcast Summary Video: You don’t need a title to be a leader,Watch Podcast Summary Video: You don’t need a title to be a leader,,pre,student,,,Community Service is not about the hours. Podcast Summary Video: You don't need a title to be a leader. Blogpost on evaluating activities
Explore Activities,comprehensive_10_2-explore-activities-10-2,"Your counselor will review your current activities to gauge your level of enjoyment, initiative, and impact—the same criteria that colleges will use when they evaluate your applications.",10,2,comprehensive_10_2-activity-exploration,Activity exploration,,"Review the activity section and see what might have been left off. Start to ask questions about what they would continue or drop, given the chance. Use guide of questions to have an in-depth conversation. Look to seek opportunities to demonstrate initiative, impact, passion and leadership ",,comprehensive-10-2 Read blogpost on evaluating activities,Read blogpost on evaluating activities,,pre,student,,,Community Service is not about the hours. Podcast Summary Video: You don't need a title to be a leader. Blogpost on evaluating activities
Explore Activities,comprehensive_10_2-explore-activities-10-2,,10,2,comprehensive_10_2-activity-exploration-athletes,Activity exploration - athletes,,"For athletes, evaluate need for additional support based on athletic opportunities & recruitment ",,,,,,,,,
Academics & Course Selection,comprehensive_10_2-academics-course-selection-10-2,We’ll use this meeting to thoughtfully choose courses that maximize your last two years of high school and show colleges your academic potential.,10,2,comprehensive_10_2-course-planning,Course Planning,,1. Review course plan and any changes. Do these fit the end goals?                                  2. Set 11th grade courses.                                  3. Review the difference between courses required for graduation and those required for college admissions (and NCAA if relevant) ,,comprehensive-10-2 Fill in the Coursework section with all final grades from 9th and 10th.,Fill in the Coursework section with all final grades from 9th and 10th.,,pre,student,,,How to become your favorite teacher's favorite student. How to work with your school counselor. Podcast Ep 3. Goal Setting Progress Report.
