Meeting Name,Meeting Key,Meeting Description,Grade,Semester,Agenda Item Key,Agenda Item Title,Dont Create With Roadmap,Agenda Item Counselor Instructions,Meeting Counselor Instructions,Task Key,Task Name,Task Description,Task Type,Task User Type,Form,Repeats,Content
Parent Kickoff,comprehensive_late_start-parent-kickoff,"In this meeting, reserved just for parent and counselor, we’ll learn more about your family’s priorities so we can develop an admissions plan that will help you reach your specific goals.",,,comprehensive_late_start-review-intake-questionnaire,Review intake questionnaire,,Review intake questionnaire. If other needs are uncovered during this conversation connect family to their Strategist to evaluate what additional support is needed. ,,comprehensive-late-start Complete Intake Questionnaire (parents),Complete Intake Questionnaire (parents),,pre,parent,Parent Intake Questionnaire,,Intake Questionnaire (parent). Welcome to Collegewise video (parent). Podcast Ep 1 & 2
Parent Kickoff,comprehensive_late_start-parent-kickoff,"In this meeting, reserved just for parent and counselor, we’ll learn more about your family’s priorities so we can develop an admissions plan that will help you reach your specific goals.",,,comprehensive_late_start-review-intake-questionnaire,Review intake questionnaire,,Review intake questionnaire. If other needs are uncovered during this conversation connect family to their Strategist to evaluate what additional support is needed. ,,comprehensive-late-start Optional - Listen to Get Wise Podcast. Episode 1 & 2,Optional - Listen to Get Wise Podcast. Episode 1 & 2,,post,parent,,,Intake Questionnaire (parent). Welcome to Collegewise video (parent). Podcast Ep 1 & 2
Parent Kickoff,comprehensive_late_start-parent-kickoff,,,,comprehensive_late_start-discuss-cadence-of-the-program,Discuss cadence of the program,,,,comprehensive-late-start Watch Welcome to Collegewise (parent).,Watch Welcome to Collegewise (parent).,,pre,parent,,,
Parent Kickoff,comprehensive_late_start-parent-kickoff,,,,comprehensive_late_start-schoolnet-communication,UMS communication,,Best way to communicate via UMS including a tutorial of the system ,,,,,,,,,
Student Kickoff & Introduction to College Research,comprehensive_late_start-student-kickoff-introduction-to-college-research,A thoughtful college search can help you find the right schools and become more competitive for those that already interest you. We’ll use this meeting to get you started.,,,comprehensive_late_start-college-research-first-list,College Research & First List,,"1. Students answer college search questions (embedded in UMS) during the meeting via a conversation with their counselor-yielding a more productive and strategic, in-depth conversation.                                         2. Provide curated list of schools based off questionnaire for preliminary research ",,comprehensive-late-start Watch Welcome to Collegewise video (student).,Watch Welcome to Collegewise video (student).,,pre,student,,,"Welcome to Collegewise (student). Overview of Colleges. What do You Want in a College? College fairs, rep visits and other college search resources."
Student Kickoff & Introduction to College Research,comprehensive_late_start-student-kickoff-introduction-to-college-research,A thoughtful college search can help you find the right schools and become more competitive for those that already interest you. We’ll use this meeting to get you started.,,,comprehensive_late_start-college-research-first-list,College Research & First List,,"1. Students answer college search questions (embedded in UMS) during the meeting via a conversation with their counselor-yielding a more productive and strategic, in-depth conversation.                                         2. Provide curated list of schools based off questionnaire for preliminary research ",,comprehensive-late-start Watch Overview of Colleges,Watch Overview of Colleges,,pre,student,,,"Welcome to Collegewise (student). Overview of Colleges. What do You Want in a College? College fairs, rep visits and other college search resources."
Student Kickoff & Introduction to College Research,comprehensive_late_start-student-kickoff-introduction-to-college-research,A thoughtful college search can help you find the right schools and become more competitive for those that already interest you. We’ll use this meeting to get you started.,,,comprehensive_late_start-college-research-first-list,College Research & First List,,"1. Students answer college search questions (embedded in UMS) during the meeting via a conversation with their counselor-yielding a more productive and strategic, in-depth conversation.                                         2. Provide curated list of schools based off questionnaire for preliminary research ",,comprehensive-late-start Watch What do You Want in a College?,Watch What do You Want in a College?,,pre,student,,,"Welcome to Collegewise (student). Overview of Colleges. What do You Want in a College? College fairs, rep visits and other college search resources."
Student Kickoff & Introduction to College Research,comprehensive_late_start-student-kickoff-introduction-to-college-research,A thoughtful college search can help you find the right schools and become more competitive for those that already interest you. We’ll use this meeting to get you started.,,,comprehensive_late_start-college-research-first-list,College Research & First List,,"1. Students answer college search questions (embedded in UMS) during the meeting via a conversation with their counselor-yielding a more productive and strategic, in-depth conversation.                                         2. Provide curated list of schools based off questionnaire for preliminary research ",,comprehensive-late-start College questions to consider before our meeting.,College questions to consider before our meeting.,,pre,student,,,"Welcome to Collegewise (student). Overview of Colleges. What do You Want in a College? College fairs, rep visits and other college search resources."
Student Kickoff & Introduction to College Research,comprehensive_late_start-student-kickoff-introduction-to-college-research,,,,comprehensive_late_start-review-transcript,Review transcript,,"Review transcript to-date. What are they taking, how are they going, etc. ",,"comprehensive-late-start Compile and send relevant academic information: transcripts, test scores, etc","Compile and send relevant academic information: transcripts, test scores, etc",,pre,student,,,
Student Kickoff & Introduction to College Research,comprehensive_late_start-student-kickoff-introduction-to-college-research,,,,comprehensive_late_start-utilizing-school-local-resources-for-research,Utilizing school & local resources for research,,"Discuss utilizing school & local resources for research (school counselor, college rep visits, local college fairs, etc) ",,"comprehensive-late-start Watch College fairs, rep visits, and other college search resources","Watch College fairs, rep visits, and other college search resources",,pre,student,,,
Activity & College List Review,comprehensive_late_start-activity-college-list-review,"This check-in meeting with your counselor is your chance to review your activities and your first round of college research. You'll be able to ask questions, and make any necessary adjustments to keep you on the path to admissions success.  ",,,comprehensive_late_start-activities-exploration,Activities exploration,,1. Review activity section. Discuss how to focus and expand priority activities.               2. Recommendation on how to go deeper within one or two specific activities.                                                 3. Provide resources for family to research summer options if needed      ,,comprehensive-late-start Fill out the Activity section in UMS,Fill out the Activity section in UMS,,pre,student,,,Academic Opportunities in College. Podcast Ep. 3 & 4
Activity & College List Review,comprehensive_late_start-activity-college-list-review,"This check-in meeting with your counselor is your chance to review your activities and your first round of college research. You'll be able to ask questions, and make any necessary adjustments to keep you on the path to admissions success.  ",,,comprehensive_late_start-activities-exploration,Activities exploration,,1. Review activity section. Discuss how to focus and expand priority activities.               2. Recommendation on how to go deeper within one or two specific activities.                                                 3. Provide resources for family to research summer options if needed      ,,comprehensive-late-start Optional - Listen to Get Wise Podcast. Episode 3 & 4,Optional - Listen to Get Wise Podcast. Episode 3 & 4,,post,parent,,,Academic Opportunities in College. Podcast Ep. 3 & 4
Activity & College List Review,comprehensive_late_start-activity-college-list-review,,,,comprehensive_late_start-review-initial-research,Review Initial Research,,1. Review research.                                           2. Provide an updated list of colleges to research based off initial findings ,,comprehensive-late-start Research suggested college list,Research suggested college list,,pre,student,,,
Activity & College List Review,comprehensive_late_start-activity-college-list-review,,,,comprehensive_late_start-discuss-majors,Discuss Majors,,"Begin to discuss potential major choices, assign majors to research ",,comprehensive-late-start Watch Academic Opportunities in College,Watch Academic Opportunities in College,,pre,student,,,
Major Research & Course Selection,comprehensive_late_start-major-research-course-selection,"Your counselor will review your list of colleges, discuss your current academic interests, and discuss how to pursue those interests as majors as well as review and confirm your 12th grade course schedule.   ",,,comprehensive_late_start-review-initial-research,Review Initial Research,,1. Review research.                                           2. Provide an updated list of colleges to research based off initial findings ,,comprehensive-late-start Research suggested college list,Research suggested college list,,pre,student,,,Highly Selected Colleges. Building a balanced college list. 
