Year/Semester,Meeting #,Title,Prep Homework,Agenda Item Title,Agenda Item Details,To Do Item,Roadmap One-Line Description,Content
11th Grade. 2nd Sem.,1,Parent Kickoff,FOR PARENTS: 1. Complete Intake Questionnaire (parents),Review intake questionnaire,Review intake questionnaire. If other needs are uncovered during this conversation connect family to their Strategist to evaluate what additional support is needed. ,FOR PARENTS: Optional - Listen to Get Wise Podcast. Episode 1 & 2,"In this meeting, reserved just for parent and counselor, we’ll learn more about your family’s priorities so we can develop an admissions plan that will help you reach your specific goals.",Intake Questionnaire (parent). Welcome to Schoolnet video (parent). Character Counts. Podcast Ep 1 & 2
,,,FOR PARENTS: 1. Watch Welcome to Schoolnet (parent).                                                          2. Watch Character Counts,Discuss cadence of the program,,,,
,,,,UMS communication,Best way to communicate via UMS including a tutorial of the system ,,,
,,,,,,,,
11th Grade. 2nd Sem.,2,Student Kickoff,1. Complete Getting to Know You (students) 2. Watch Welcome to Schoolnet video (student).                                                          3. Watch Character Counts,Review Getting to Know You Questionnaire,,,"We’ll use this meeting to get to know you—your goals, your concerns, your personality, and your values. And together we’ll create a foundation for a smooth, successful journey to college.  ",Getting to Know You (student). Welcome to Schoolnet (student). Character Counts
,,,"1. Compile and send relevant academic information: transcripts, test scores, etc",Review transcript,"Review transcript to-date. What are they taking, how are they going, etc. ",,,
,,,,Evaluate academic performance & study skills,Evaluate academic performance and study skills and identify any necessary tutoring support needed. ,,,
,,,,,,,,
11th Grade. 2nd Sem.,3,Activity Assessment & Planning,1. FOR PARENTS: Watch The College Planning Opportunity Many Juniors Miss                                                                           2. FOR STUDENTS: Watch The College Planning Opportunity Many Juniors Miss       3. Fill out the Activity section in UMS       4. Watch How Colleges Really Evaluate Your Activities                                                          5. Write a short essay about an activity that has impacted you,Activities exploration,1. Review activity section. Discuss how to focus and expand priority activities.               2. Recommendation on how to go deeper within one or two specific activities.                         3. Discuss how to pursue certain activities over summer/summer planning.                        4. Provide resources for family to research summer options if needed      ,FOR PARENTS: Optional - Listen to Get Wise Podcast. Episode 3 & 4,"This in-depth check-in meeting with your counselor is your chance to review your progress, ask questions, and make any necessary adjustments to keep you on the path to admissions success.  ",The College Planning Opportunity Many Juniors Miss. How Colleges Really Evaluate Your Activities. Goal Setting Progress Report. Podcast Ep. 3 & 4
,,,Schedule any necessary diagnostics prior to Testing meeting,Academic Check-in,Evaluate academic performance and identify any necessary support needed. Evaluation of study skills and determine if any additional support is necessary ,,,
,,,,Goal Setting Progress Report,Fill out goals in the Goal Setting Progress Report. Set benchmark dates to check in on progress ,,,
,,,,,,,,
11th Grade. 2nd Sem.,4,Testing (To be held with CAS team member and counselor),Complete assigned diagnostics,Plan Testing Timeline & Support,"1. Review any test scores and diagnostics. Strategize on SAT/ACT test preference. Create a testing plan including recommendation of package/hours/service delivery format to meet student’s needs.      2. Discuss AP exams - determine AP exam preparation plan                                             4. Share any of these guides as needed: Guide to ACT, Guide to the PSAT, Guide to SAT as needed ",,"Your counselor and one of our testing experts will work with you to fine-tune your standardized testing plan and make sure you’re well prepared for tests like the SAT, ACT, and AP exams.  ",Overview of Testing. To Test or Not to Test. Testing FAQ. Guide to ACT. Guide to the PSAT. Guide to the SAT.
,,,"1. Watch Overview of Testing                        2. Read the Testing FAQ                                 3. Watch To Test or Not to Test                      4. Writing Assignment: In the past year, which movie, play, book, song, or any other piece of artistic or cultural expression has impacted you most and how?",Provide Testing Overview,"Review the role of testing in the admissions process (there should be an emphasis on that while testing can’t get you in, it can keep you out at many HSCs). ",,,
,,,,,,,,
11th Grade. 2nd Sem.,5,Introduction to College Research,1. Watch Overview of Colleges                       2. Watch What do You Want in a College?     3. FOR PARENTS: Fill out College Questionnaire,College Research & First List,"1. Students answer college search questions (embedded in UMS) during the meeting via a conversation with their counselor-yielding a more productive and strategic, in-depth conversation.                                         2. Provide curated list of schools based off questionnaire for preliminary research ",FOR PARENTS: Optional - Listen to Get Wise Podcast. Episode 5,A thoughtful college search can help you find the right schools and become more competitive for those that already interest you. We’ll use this meeting to get you started.,"Overview of Colleges. What do you want in a college? College fairs, rep visits, and other college search resources. Parent College Questionnaire. Podcast Ep. 5"
,,,"1. Watch College fairs, rep visits, and other college search resources",Utilizing school & local resources for research,"Discuss utilizing school & local resources for research (school counselor, college rep visits, local college fairs, etc) ",,,
,,,,Summer Planning,Follow-up conversation re: summer planning.,,,
,,,,,,,,
11th Grade. 2nd Sem.,6,Summer Planning (Summer before 12th),"1. If you haven’t read it yet, read the Summer Planning Guide                                                 2. Writing Assignment: if you were given a week to do whatever you wanted (consider money no object), what would you do? ",Summer Planning,Summer Planning. Ask them to assess last summer – was it fun? What was the highlight? ,,"We’ll revisit your previous summer, discuss how you might like to spend your break from school, and help you plan a summer that’s productive and enjoyable.   ","Summer Planning Guide. College fairs, rep visits, and other college search resources. College Visits Overview"
,,,,Summer Planning - STEM & Fine Arts,"If this is a STEM or fine arts student, this should be a more pointed conversation about how to build hands-on experience and/or contribute to a portfolio. ",,,
,,,,Summer Research,1. Assign ideas to research                             2. See if they'd be open to reading 1-2 books for fun. Talk through potential ideas.,,,
,,,,Summer Programs,Share a few specific programs with families that would be a good match for the student. ,,,
,,,"1. Watch College fairs, rep visits, and other college search resources                                2. Watch College Visits Overview",College Fairs & College Visits,Discuss attending college fairs and opportunities to visit colleges in conjunction with family travel plans ,,,
,,,,Diagnostics?,"Register student for any diagnostics that need to be taken (SAT, ACT or both) ",,,
,,,,Academic Check-in,Evaluate academic performance and identify any necessary support needed. Evaluation of study skills and determine if any additional support is necessary ,,,
,,,,,,,,
11th Grade. 2nd Sem.,7,College Research Round Two & Major Discussion,1. Research suggested college list                   2. Watch Highly Selected Colleges                 3. Watch Building a Balanced College List,Review Initial Research,1. Review research.                                           2. Provide an updated list of colleges to research based off initial findings ,,"Based on your feedback, your counselor will help you refine your college list and consider potential academic plans in college (even if you don’t yet know what you want to study).",Highly Selected Colleges. Building a balanced college list. Academic opportunities in college. 
,,,1. Watch Academic Opportunities in College,Discuss Majors,"Begin to discuss potential major choices, assign majors to research ",,,
,,,,College Cost & Financial Aid Eligibilty,Share resources with family re: college cost and financial aid eligibility to allow them to evaluate on their own ,,,
,,,,,,,,
