Meeting Name,Meeting Key,Meeting Description,Grade,Semester,Agenda Item Key,Agenda Item Title,Dont Create With Roadmap,Agenda Item Counselor Instructions,Meeting Counselor Instructions,Task Key,Task Name,Task Description,Task Type,Task User Type,Form,Repeats,Content
Parent Kickoff,premier_11_2-parent-kickoff-11-2,"In this meeting, reserved just for parent and counselor, we’ll learn more about your family’s priorities so we can develop an admissions plan that will help you reach your specific goals.",11,2,premier_11_2-review-intake-questionnaire,Review intake questionnaire,,Review intake questionnaire. If other needs are uncovered during this conversation connect family to their Strategist to evaluate what additional support is needed. ,,premier-11-2 Complete Intake Questionnaire (parents),Complete Intake Questionnaire (parents),,pre,parent,Parent Intake Questionnaire,,Intake Questionnaire (parent). Welcome to Collegewise video (parent). Character Counts. Podcast Ep 1 & 2
Parent Kickoff,premier_11_2-parent-kickoff-11-2,"In this meeting, reserved just for parent and counselor, we’ll learn more about your family’s priorities so we can develop an admissions plan that will help you reach your specific goals.",11,2,premier_11_2-review-intake-questionnaire,Review intake questionnaire,,Review intake questionnaire. If other needs are uncovered during this conversation connect family to their Strategist to evaluate what additional support is needed. ,,premier-11-2 Optional - Listen to Get Wise Podcast. Episode 1 & 2,Optional - Listen to Get Wise Podcast. Episode 1 & 2,,post,parent,,,Intake Questionnaire (parent). Welcome to Collegewise video (parent). Character Counts. Podcast Ep 1 & 2
Parent Kickoff,premier_11_2-parent-kickoff-11-2,,11,2,premier_11_2-discuss-cadence-of-the-program,Discuss cadence of the program,,,,premier-11-2 Watch Welcome to Collegewise (parent).,Watch Welcome to Collegewise (parent).,,pre,parent,,,
Parent Kickoff,premier_11_2-parent-kickoff-11-2,,11,2,premier_11_2-discuss-cadence-of-the-program,Discuss cadence of the program,,,,premier-11-2 Watch Character Counts,Watch Character Counts,,pre,parent,,,
Parent Kickoff,premier_11_2-parent-kickoff-11-2,,11,2,premier_11_2-schoolnet-communication,UMS communication,,Best way to communicate via UMS including a tutorial of the system ,,,,,,,,,
Student Kickoff,premier_11_2-student-kickoff-11-2,"We’ll use this meeting to get to know you—your goals, your concerns, your personality, and your values. And together we’ll create a foundation for a smooth, successful journey to college.  ",11,2,premier_11_2-review-getting-to-know-you-questionnaire,Review Getting to Know You Questionnaire,,,,premier-11-2 Complete Getting to Know You (students),Complete Getting to Know You (students),,pre,student,Getting To Know You!,,Getting to Know You (student). Welcome to Collegewise (student). Character Counts
Student Kickoff,premier_11_2-student-kickoff-11-2,"We’ll use this meeting to get to know you—your goals, your concerns, your personality, and your values. And together we’ll create a foundation for a smooth, successful journey to college.  ",11,2,premier_11_2-review-getting-to-know-you-questionnaire,Review Getting to Know You Questionnaire,,,,premier-11-2 Watch Welcome to Collegewise video (student).,Watch Welcome to Collegewise video (student).,,pre,student,,,Getting to Know You (student). Welcome to Collegewise (student). Character Counts
Student Kickoff,premier_11_2-student-kickoff-11-2,"We’ll use this meeting to get to know you—your goals, your concerns, your personality, and your values. And together we’ll create a foundation for a smooth, successful journey to college.  ",11,2,premier_11_2-review-getting-to-know-you-questionnaire,Review Getting to Know You Questionnaire,,,,premier-11-2 Watch Character Counts,Watch Character Counts,,pre,student,,,Getting to Know You (student). Welcome to Collegewise (student). Character Counts
Student Kickoff,premier_11_2-student-kickoff-11-2,,11,2,premier_11_2-review-transcript,Review transcript,,"Review transcript to-date. What are they taking, how are they going, etc. ",,"premier-11-2 Compile and send relevant academic information: transcripts, test scores, etc","Compile and send relevant academic information: transcripts, test scores, etc",,pre,student,,,
Student Kickoff,premier_11_2-student-kickoff-11-2,,11,2,premier_11_2-evaluate-academic-performance-study-skills,Evaluate academic performance & study skills,,Evaluate academic performance and study skills and identify any necessary tutoring support needed. ,,,,,,,,,
