Meeting #,Year/Semester,Meeting #,Title,Prep Homework,Agenda Item Title,Agenda Item Details,To Do Item,Roadmap One-Line Description,Content
1,9th Grade. 2nd Sem.,1,Parent Kickoff,FOR PARENTS: 1. Complete Intake Questionnaire (parents),Review intake questionnaire,Review intake questionnaire. If other needs are uncovered during this conversation connect family to their Strategist to evaluate what additional support is needed. ,FOR PARENTS: Optional - Listen to Get Wise Podcast. Episode 1 & 2,"In this meeting, reserved just for parent and counselor, we’ll learn more about your family’s priorities so we can develop an admissions plan that will help you reach your specific goals.",Intake Questionnaire (parent). Welcome to Collegewise video (parent). Character Counts. Podcast Ep 1 & 2
,,,,FOR PARENTS: 1. Watch Welcome to Collegewise (parent).                                                          2. Watch Character Counts,Discuss cadence of the program,,,,
,,,,,UMS communication,Best way to communicate via UMS including a tutorial of the system ,,,
,,,,,,,,,
2,9th Grade. 2nd Sem.,2,Student Kickoff,1. Complete Getting to Know You (students) 2. Watch Welcome to Collegewise video (student).                                                          3. Watch Character Counts,Review Getting to Know You Questionnaire,,,"We’ll use this meeting to get to know you—your goals, your concerns, your personality, and your values. And together we’ll create a foundation for a smooth, successful journey to college.  ",Getting to Know You (student). Welcome to Collegewise (student). Character Counts
,,,,"1. Compile and send relevant academic information: transcripts, test scores, etc",Review transcript,"Review transcript to-date. What are they taking, how are they going, etc. ",,,
,,,,,Evaluate academic performance & study skills,Evaluate academic performance and study skills and identify any necessary tutoring support needed. ,,,
,,,,,,,,,
3,9th Grade. 2nd Sem.,3,Assessing your Strengths,Complete Strength Finders,Review Strength Finders results,Review Strength Finders results. Discuss implications of results – how and where they can influence and create impact ,,Happy and successful high school students know their strengths and how to use them. We’ll help you identify yours so you can thrive by doing more of what you do best.  ,Strength Finders. Goal Setting Progress Report
,,,,,Goal Setting Progress Report,Fill out goals in the Goal Setting Progress Report. Set benchmark dates to check in on progress ,,,
,,,,,,,,,
6,9th Grade. 2nd Sem.,4,Academics & 10th Grade Course Selection,"1. Watch What do colleges evaluate from 9th and 10th grade?                                              2. Watch Podcast Summary Video: Every year of high school matters
",Discuss course selection in relation to college admission,"Discuss why course selection, rigor, and performance matter in the admissions process. Discuss the importance of classroom engagement. Ask about how they are learning outside the classroom and what ways they learn best. ",FOR PARENTS: Read Making Caring Common,"We’ll help you plan a course schedule that challenges you, plays to your strengths, and leads to maximum academic opportunities in high school.  ",What do colleges evaluate from 9th and 10th grade. Podcast Summary Video: Every year of high school matters. Making Caring Common. Goal Setting Progress Report.
