Meeting #,Title,Content Category,Content,Delivery Date,Already have a version?,Links
1,Intake call with counselor & parent,Welcome,Intake Questionnaire (parent),NA,Y,Attached
,,Welcome,Welcome to Schoolnet video (parent),2/1,,https://vimeo.com/505734337/a1bcc2f2a9
,,Welcome,Podcast Ep 1,NA,Y,https://getwise.simplecast.com/episodes/0101
,,College Research,Podcast Ep 2,NA,Y,https://getwise.simplecast.com/episodes/what-you-do-is-more-important-than-what-you-study
,,,,,,
2,Intake meeting with counselor & student,Welcome,Getting to Know You (student),NA,Y,Attached
,,Welcome,Welcome to Schoolnet (student),2/1,,https://vimeo.com/506289155/46de464615
,,,,,,
,,,,,,
4,Summer Planning (Summer before 10th),Summer,50 Ways to Spend a Summer & Summer plans: what do you want to do? Blogpost. ,NA,Y,https://go.collegewise.com/50_ways_to_spend_your_summer
,,Summer,Summer Planning Guide,NA,Y,https://www.dropbox.com/s/kwfqemdbbx3zyv6/Summer%20Planning%202021.pdf?dl=0
,,College Visits,College Visits Overview (1),3/22,Y,https://go.collegewise.com/virtual-college-visits
,,College Visits,College Visits Overview (2),3/22,Y,https://assets.ctfassets.net/n4mniz0krvft/6UzVRJKVzjeOjUmZHPGlXS/4b261ce59790678ed9ed5c58e3c0c015/College_Visit_Guide_2020.pdf
,,,,,,
,,,,,,
5,Academics & 10th Grade Course Selection,Academics,What do colleges evaluate from 9th and 10th grade. ,2/1,,https://vimeo.com/505913242/b3cb4a297d
,,Activities,Making Caring Common,,Y,https://mcc.gse.harvard.edu
,,,,,,
6,Activities Brainstorm,Activities,How Colleges Really Evaluate Activities,2/1,,https://vimeo.com/506288163/255e296373
,,,,,,
8,Activities - Revisited,Activities,Blogpost on evaluating activities,,Y,http://wiselikeus.com/collegewise/2015/04/how-to-evaluate-your-activities.html
,,,,,,
9,Summer Planning (Summer before 11th),Summer,Summer Planning Guide,NA,Y,https://www.dropbox.com/s/kwfqemdbbx3zyv6/Summer%20Planning%202021.pdf?dl=0
,,College Visits,College Visits Overview (1),3/22,,https://go.collegewise.com/virtual-college-visits
,,College Visits,College Visits Overview (2),3/22,,https://assets.ctfassets.net/n4mniz0krvft/6UzVRJKVzjeOjUmZHPGlXS/4b261ce59790678ed9ed5c58e3c0c015/College_Visit_Guide_2020.pdf
,,,,,,
10,Testing (To be held with CAS team member and counselor),Testing,Testing FAQ,2/1,,Attached
,,Testing,To Test or Not to Test.,2/1,,https://vimeo.com/505003241/fd59706203
,,,,,,
11,Academics & Course Selection,Activities,Podcast Ep 3,NA,Y,https://getwise.simplecast.com/episodes/s103-community-service-is-not-about-the-hours
,,,,,,
12,Activity Assessment & Planning,Activities,How Colleges Really Evaluate Your Activities. ,2/1,,https://vimeo.com/506288163/255e296373
,,Testing,Podcast Ep. 4,NA,Y,https://getwise.simplecast.com/episodes/s104-testing-is-never-the-most-important-thing
,,,,,,
13,Testing,Testing,To Test or Not to Test. ,2/1,,https://vimeo.com/505003241/fd59706203
,,Academics,Podcast Ep. 5,NA,Y,https://getwise.simplecast.com/episodes/s105-every-year-of-high-school-matters
,,,,,,
14,Introduction to College Research,College Research,Overview of Colleges.,2/1,,https://vimeo.com/505915126/8a0060be8d
,,College Research,What do you want in a college? ,2/1,,https://vimeo.com/505729102/b4b6aa157c
,,,Parent College Questionnaire. ,NA,Y,Already in system - form
,,College Cost,Podcast Ep. 6,NA,Y,https://getwise.simplecast.com/episodes/s106-the-sticker-price-is-not-the-price
,,,,,,
15,College Research Round Two & Major Discussion,College Research,Building a balanced college list. ,2/1,,https://vimeo.com/505726334/94b5a67a3d
,,College Research,Academic opportunities in college. ,2/1,,https://vimeo.com/506297993/7e6d0d8cec
,,,,,,
16,Major Research & Course Selection,Activities,Podcast Ep. 7,NA,Y,https://getwise.simplecast.com/episodes/s107-you-dont-need-a-title-to-be-a-leader
,,,,,,
17,College Visits & Letters of Recommendation,College Visits,College Visit Guide,3/22,Y,https://assets.ctfassets.net/n4mniz0krvft/6UzVRJKVzjeOjUmZHPGlXS/4b261ce59790678ed9ed5c58e3c0c015/College_Visit_Guide_2020.pdf
,,Application Process,Letters of Recommendation FAQ.,3/22,Y,Attached
,,Application Process,Which teachers should write your letters of recommendation? ,2/1,,https://vimeo.com/505912442/c605a3d940
,,,,,,
18,College Research - Narrowing the List,College Research,Finalizing Your List: Part 1. ,2/1,,https://vimeo.com/505012295/c628414861
,,Application Process,How to Navigate Demonstrated Interest,3/22,Y,https://go.collegewise.com/demonstrated-interest
,,,,,,
19,Essay Brainstorming,Essays,Essay Brainstorming,,Y,https://vimeo.com/412439066/b68c19aa2f
,,Essays,Blogpost on the importance of the college essay. ,,Y,http://wiselikeus.com/collegewise/2014/06/how-much-do-college-essays-matter.html
,,Essays,Letter to Parents,,Y,Attached
,,,,,,
20,Finalize the College List,Application Process,Common App Guide. ,TBD,Y,https://go.collegewise.com/collegewise-guide-to-the-common-application
,,College Research,Finalize your List: Part II. ,2/1,,https://vimeo.com/506297959/ffb814815e
,,Application Process,Podcast Ep. 8,NA,Y,https://getwise.simplecast.com/episodes/s108-rapid-fire-myth-destruction
,,,,,,
,Senior Season Check-in Meeting (ad hoc),Application Process,Apply Texas Guide,NA,Y,Attached
,,Essays,Supplement Essay: Overview. ,NA,Y,https://vimeo.com/452340064/6af3ba3afd
,,Essays,Supplement Essay: Why this Major?,NA,Y,https://vimeo.com/452360903/9f17dd0ab9
,,Essays,Supplement Essay: Why this School? ,NA,Y,https://vimeo.com/452358594/67d29dffe9
