Year/Semester,Meeting #,Title,Prep Homework,Agenda Item Title,Agenda Item Details,To Do Item,Roadmap One-Line Description,Content
12th Grade. Summer,1,Parent Kickoff,FOR PARENTS: 1. Complete Intake Questionnaire (parents),Review intake questionnaire,Review intake questionnaire. If other needs are uncovered during this conversation connect family to their Strategist to evaluate what additional support is needed. ,FOR PARENTS: Optional - Listen to Get Wise Podcast. Episode 1 & 2,"In this meeting, reserved just for parent and counselor, we’ll learn more about your family’s priorities so we can develop an admissions plan that will help you reach your specific goals.",Intake Questionnaire (parent). Welcome to Collegewise video (parent). Podcast Ep 1 & 2
,,,FOR PARENTS: 1. Watch Welcome to Collegewise (parent).                                                          ,Discuss cadence of the program,,,,
,,,,UMS communication,Best way to communicate via UMS including a tutorial of the system ,,,
,,,,,,,,
12th Grade. Summer,2,Student Kickoff & Introduction to College Research,1. Watch Welcome to Collegewise video (student).                                                           1. Watch Overview of Colleges                       2. Watch What do You Want in a College?     3. College questions to consider before our meeting.                                                                                                            ,College Research & First List,"1. Students answer college search questions (embedded in UMS) during the meeting via a conversation with their counselor-yielding a more productive and strategic, in-depth conversation.                                         2. Provide curated list of schools based off questionnaire for preliminary research ",,A thoughtful college search can help you find the right schools and become more competitive for those that already interest you. We’ll use this meeting to get you started.,"Welcome to Collegewise (student). Overview of Colleges. What do You Want in a College? College fairs, rep visits and other college search resources."
,,,"1. Compile and send relevant academic information: transcripts, test scores, etc",Review transcript,"Review transcript to-date. What are they taking, how are they going, etc. ",,,
,,,"1. Watch College fairs, rep visits, and other college search resources",Utilizing school & local resources for research,"Discuss utilizing school & local resources for research (school counselor, college rep visits, local college fairs, etc) ",,,
,,,,,,,,
12th Grade. Summer,3,Activity & College List Review,1. Fill out the Activity section in UMS       ,Activities exploration,1. Review activity section. Discuss how to focus and expand priority activities.               2. Recommendation on how to go deeper within one or two specific activities.                                                 3. Provide resources for family to research summer options if needed      ,FOR PARENTS: Optional - Listen to Get Wise Podcast. Episode 3 & 4,"This check-in meeting with your counselor is your chance to review your activities and your first round of college research. You'll be able to ask questions, and make any necessary adjustments to keep you on the path to admissions success.  ",Academic Opportunities in College. Podcast Ep. 3 & 4
,,,1. Research suggested college list,Review Initial Research,1. Review research.                                           2. Provide an updated list of colleges to research based off initial findings ,,,
,,,1. Watch Academic Opportunities in College,Discuss Majors,"Begin to discuss potential major choices, assign majors to research ",,,
,,,,,,,,
12th Grade. Summer,4,Major Research & Course Selection,1. Research suggested college list                   2. Watch Highly Selected Colleges                 3. Watch Building a Balanced College List.        ,Review Initial Research,1. Review research.                                           2. Provide an updated list of colleges to research based off initial findings ,,"Your counselor will review your list of colleges, discuss your current academic interests, and discuss how to pursue those interests as majors as well as review and confirm your 12th grade course schedule.   ",Highly Selected Colleges. Building a balanced college list. 
,,,1. Fill in the Coursework section with all final grades from 9th-11th,12th Grade Course Planning,"1. Review courses for 12th and confirm.        2. Discuss how the planned courses aligns with any major choices (if engineering, what coursework; if certain colleges, what coursework, etc). ",,,
,,,,,,,,
12th Grade. Summer,5,Letters of Recommendation & Testing Strategy,1. Read Letters of Recommendation FAQ       2. Watch Which teachers should write your letters of recommendation?                           3. Submit to SN counselor top three choices for teacher LOR and two supplemental LOR,Letters of Recommendation,Discuss letters of recommendation choices and compare to requirements based on current list ,,"This meeting focuses on two important parts of your college application process—your testing strategy, and securing strong letters of recommendation from the right teachers.",To Test or Not to Test. Letters of Recommendation FAW. Which teachers should write your letters of recommendation? 
,,,1. Watch To Test or Not to Test                             ,Testing Strategy,Review any test scores. Strategize on any remaining testing needs.,,,
,,,,,,,,
12th Grade. Fall,6,College Research - Narrowing the List,1. Research any final schools and begin to narrow the list                                                 2. Read How to Navigate Demonstrated Interest                                                             3. Watch Finalizing Your List: Part I  ,Narrow the List,1. Review research on additional schools.      2. Discuss how to narrow the list & including program research.                                             3. Provide an updated list with any additional schools necessary to fill the gaps to balance the list ,1. FOR PARENTS: Optional - Listen to Get Wise Podcast. Episode 7,Applying to too many colleges can have adverse effects on both your applications and your sanity. We’ll review your current progress towards creating a balanced and strategically smart final list of colleges.,Finalizing Your List: Part 1. How to Navigate Demonstrated Interest. Podcast Ep. 7
,,,,,,,,
,,Check- in Meeting (ad hoc),,Academic Check-in,Evaluate academic performance and identify any necessary support needed. Evaluation of study skills and determine if any additional support is necessary ,,,
,,,,Activities Update,Discuss new avenues to pursue as needed ,,,
,,,,Revisit Testing Plans,"Revisit testing plans (adjust SAT/ACT timeline depending on scores, Subject Tests if needed, discuss AP exams and necessary prep",,,
,,,,Revisit Summer Plans,"Revisit summer plans (decisions made on any programs, confirm student applied, discuss other local opportunities if there is no summer program) ",,,
,,,,College Visits,Identify college visit opportunities in conjunction with existing family travel plans ,,,
,,,,Status check-in: Goal Setting Progress Report,Counselor to add written updates on student’s progress ,,,
,,,,,,,,
12th Grade. Fall,7,Essay Brainstorming,FOR STUDENTS:                                              1. Watch Essay Brainstorming                        2. Read this blogpost on the importance of the college essay                                             3. Complete the brainstorming exercises in the Prompt tab                                                4. Block off the remainder of the brainstorming day for writing,Essay brainstorm,Brainstorm and outline perosnal statement,1. Submit your first draft within 24 hours,"Every student has a story worth telling—we’ll help you find yours to share with colleges. You’ll leave this meeting with an outline for a college essay that is thoughtful, engaging, and even fun to write.",Essay Brainstorming. Blogpost on the importance of the college essay. Letter to Parents on the essay process.
,,,FOR PARENTS:                                                                           1. Read this blogpost on the importance of the college essay                                             2. Review our Letter to Parents on the essay process,,,,,
,,,,,,,,
12th Grade. Fall,8,Finalize the College List,1. Watch Finalize your List: Part II                   2. Watch Finalizing Letters of Recommendation                                                 3. Read Visits when you are deciding where to apply                                                             4. Read Ins and Outs of Early Action & Early Decision                                                           5. Watch Early Decision vs Early Action                                                          6. Visit school counselor for college list feedback,Finalize College List,1. Finalize the college list                                2. Conisder EA & ED options                            3. Attend individual college info sessions at high schools for schools on the final list 4. Discuss the Common App and share Common App Guide,1. FOR PARENTS: Optional - Listen to Get Wise Podcast. Episode 8,"Together we’ll finalize your college list, review potential application options like “early decision” and “early action,” and make sure you’re set for a smooth and successful path to admission.  ",Common App Guide. Finalize your List: Part II. Finalizing Letters of Recommendation. Early Decision vs Early Action. Podcast Ep. 8. Visits when you are deciding where to apply. Ins and Outs of Early Action & Early Decision.    
,,,,Portfolios/Auditions,Identify schools that require portfolio/auditions. Refer to Strategist to evaluate additional support needed. ,,,
,,,,,,,,
