Class of,College,IPED,Admission Decision,GPA,SAT Single,SAT Super,SAT CR,SAT M,__ SAT W,ACT,Sub Test 1,Sub Test 2,Major,AP/IB/Coll,Honors,App Deadline,Home State,HS Level,Merit Scholarship,URM
2017,Abilene Christian University,222178,Accepted  ,3.9,,,,,,,,,Undecided,18,4,,TX,PrivR,"$44,000 ",checked
2016,Abilene Christian University,222178,Accepted  ,3.7,,1630,560,520,550,,,,Pre - Occupational Therapy,4,,,TX,PrivA,,
2018,Abilene Christian University,222178,Accepted  ,4,,1290,690,600,,27,,,Communication,8,28,,TX,PrivA,"$72,000 ",
2018,Abilene Christian University,222178,Accepted  ,3.5,,1240,610,630,,,,,Psychology,4,6,EA  ,TX,PrivA,"$68,000 ",
2016,Abilene Christian University,222178,Accepted  ,3.5,,1470,540,450,480,,,,Nursing,12,,,TX,PrivA,,
2017,Abilene Christian University,222178,Accepted  ,3.5,,840,450,390,,,,,Social Work,2,0,,TX,PubA,,checked
2015,Abilene Christian University,222178,Accepted  ,3.18,1760,1760,550,550,660,,,,Speech Pathology,6,4,,CA, PubR,,
2017,Abilene Christian University,222178,Accepted  ,3.62,,1400,670,730,,,,,Biology  ,18,0,EA  ,TX, PubR,"$44,000 ",checked
2020,Abilene Christian University,222178,Accepted  ,2.25,980,980,470,510,,,,,Nursing - Pre,10,10,,TX,PubA,"$36,000 ",
2020,Abilene Christian University,222178,Accepted  ,3.3,1140,1160,610,550,,,,,Biology - Pre Vet,2,8,,TX,PrivA,"$64,000 ",checked
2016,Adelphi University,188429,Accepted  ,2.4,,1650,600,550,500,,,,,4,,,NY,PubA,,
2017,Adelphi University,188429,Accepted  ,3.73,,2160,720,660,780,,720,690,English - Literature,22,16,EA  ,NY, PubR,,checked
2019,Adelphi University,188429,Accepted  ,4,,1180,570,610,,26,,,Psychology,18,,EA  ,CA,,"$108,000 ",checked
2017,Adelphi University,188429,Not Accepted,1.9,,1220,570,650,,,,,Kinesiology - Exercise Science,14,,EA  ,NC, PubR,,
2020,Adelphi University,188429,Accepted  ,3.7,1360,1360,670,690,,,,,Theater - Design and Production,2,22,EA  ,MD,PubA,,
2019,Agnes Scott College,138600,Accepted  ,3.64,,,,,,34,,,Political Science,22,10,EA  ,CA, PubR,,
2020,Agnes Scott College,138600,Accepted  ,3.02,1240,1240,630,610,,26,,,Pre-Med,7,23,EA  ,NC, PubR,"$116,000 ",checked
2019,Alaska Pacific University,102669,Accepted  ,3.31,1450,1490,780,710,,34,640,,Biology - Marine,28,,,WA, PubR,,
2018,Albany College of Pharmacy and Health Sciences,188526,Accepted  ,3.38,,1420,690,730,,,,,Pre - Pharmacy,16,12,,NJ, PubR,,
2015,Allegheny College,210669,Accepted  ,3.3,1620,1620,580,470,570,,,,,0,1,,MA, PubR,,
2016,Allegheny College,210669,Accepted  ,3.2,,,,,,,,,Environmental Science  ,,,,NY,PrivA,,checked
2017,Allegheny College,210669,Accepted  ,3.7,,,,,,,,,English  ,,,EA  ,MA, PubR,,
2019,Allegheny College,210669,Accepted  ,3.55,1260,1260,650,610,,,,,Undecided,8,6,EA  ,WA, PubR,,checked
2016,Allegheny College,210669,Accepted  ,2.8,,1770,610,570,590,,,,Political Science,,,,MA,PrivR,,
2016,Allegheny College,210669,Not Accepted,2.8,,1220,320,500,400,,,,Pre - Med,,,,MD,PrivA,"$36,000 ",checked
2016,Allegheny College,210669,Accepted  ,4,,,,,,,800,700,,10,16,,WA, PubR,,checked
2018,Allegheny College,210669,Accepted  ,3.59,,1380,670,710,,,,,Undecided,10,13,EA  ,CA, PubR,"$120,000 ",
2015,Allegheny College,210669,Accepted  ,3.46,1780,1810,690,520,600,,,,Neuroscience,6,2,,CA, PubR,,
2015,Allegheny College,210669,Accepted  ,3.96,,,,,,,680,650,,14,9,,WA,PubA,,
2017,Allegheny College,210669,Accepted  ,3.79,,,,,,,,,Political Science,10,4,EA  ,CA,PubA,"$100,000 ",
2019,Allegheny College,210669,Accepted  ,3,,,,,,32,760,690,English  ,12,3,EA  ,CA, PubR,,
2019,Allegheny College,210669,Accepted  ,3.5,,1290,630,660,,,,,Astronomy,16,14,EA  ,MD, PubR,,
2018,Allegheny College,210669,Accepted  ,3.22,,,,,,35,800,750,Undecided,14,16,EA  ,CA, PubR,"$120,000 ",checked
2018,Allegheny College,210669,Accepted  ,3.63,,,,,,29,,,Pre - Med,12,28,,NJ, PubR,,
2020,Allegheny College,210669,__ Not reported,3.72,,,,,,31,,,English ,6,2,EA  ,CA, PubR,,
2020,Allegheny College,210669,Accepted  ,3.8,,,,,,,,,Environmental Science  ,,5,EA  ,MA,PrivR,"$148,000 ",checked
2016,American University,131159,Waitlisted,3.43,,,,,,33,720,720,,14,,,NJ,PubA,"$15,000 ",
2016,American University,131159,Accepted  ,2.7,,1880,660,620,600,,,,Undecided - Liberal Arts & Sciences,2,,,FL, PubR,,checked
2019,American University,131159,Accepted  ,3.29,1200,1220,640,580,,,,,Political Science,3,11,,NC,PubA,,
2019,American University,131159,Accepted (Spring Semester),3.82,1540,1540,790,750,,34,,,Undecided,12,12,,NC, PubR,,
2019,American University,131159,Accepted  ,3.69,,1290,670,620,,,,,Interdisciplinary Studies ,12,14,,NY,PrivA,"$32,000 ",
2018,American University,131159,Accepted (Spring Semester),,,,760,780,,,,,,,,,CA,PrivR,,
2019,American University,131159,Accepted  ,3.88,,,,,,18,,,Undecided,2,17,,NC,PubA,"$22,000 ",checked
2019,American University,131159,Accepted  ,4,1480,1480,760,720,,,720,700,International Studies,20,26,,MD, PubR,,
2017,American University,131159,Accepted  ,3.32,,1980,690,660,630,,,,International Studies,6,0,ED ,CA,PrivR,,
2015,American University,131159,Accepted  ,3.8,2110,2170,700,690,780,,,,Undecided,7,2,,WA, PubR,,
2018,American University,131159,Accepted  ,3.6,,,720,700,,27,,,Communication,,,,CA, PubR,,
2017,American University,131159,Accepted  ,3.87,,1270,630,640,,,,,Political Science,16,6,,NJ, PubR,,
2015,American University,131159,Accepted  ,3.84,,,,,,,,,Computer Science ,2,12,,MA,PubA,,
2016,American University,131159,Accepted (Spring Semester),3.6,,,,,,,750,700,Biology  ,8,34,,MA, PubR,"$52,000 ",checked
2017,American University,131159,Alternate Admission,3.23,,1100,550,550,,,,,Psychology,2,6,,NJ, PubR,,
2018,American University,131159,Accepted (Spring Semester),3,,,670,600,,,,,Biology  ,4,32,,MA, PubR,,
2015,American University,131159,Accepted  ,3.13,1990,1990,760,560,670,,,,Political Science,0,27,,MA, PubR,,
2017,American University,131159,Waitlisted,3.9,,1370,680,690,570,,710,690,Business   ,10,17,EA  ,NC, PubR,,
2018,American University,131159,Accepted  ,3.52,,,,,,,,,Undecided - Liberal Arts & Sciences,4,24,,NJ, PubR,,
2015,American University,131159,Accepted  ,3.54,1730,1740,580,600,560,,,,Business   ,2,8,,NJ, PubR,,
2015,American University,131159,Accepted  ,3.12,1800,1800,600,580,620,,,,Political Science,8,,,TX, PubR,,
2017,American University,131159,Accepted  ,3.42,,,,,,,,,Economics ,6,18,,NJ, PubR,,
2017,American University,131159,Accepted  ,3.9,,1380,710,670,,,790,620,Undecided,,,,CT, PubR,,
2015,American University,131159,Accepted  ,3.43,2080,2130,720,680,730,,,,Undecided,8,10,,CA, PubR,,
2018,American University,131159,Accepted (Spring Semester),3.46,,,,,,,,,Business   ,14,10,,NJ, PubR,,
2019,American University,131159,Accepted  ,3.3,1240,1240,590,650,,29,,,Communication,9,18,,NC, PubR,"$20,000 ",checked
2017,American University,131159,Accepted  ,3.83,,1110,550,560,,,,,Undecided,8,8,,TX, PubR,,
2017,American University,131159,Accepted (Spring Semester),3.17,,1100,560,540,,,,,Business - Administration ,2,12,,TX,PrivR,,
2015,American University,131159,Waitlisted,4,,,,,,,800,790,Political Science,18,6,,CA, PubR,,
2016,American University,131159,Accepted  ,3.69,,1860,620,630,610,,740,,Political Science,6,6,EA  ,CA, PubR,,checked
2018,American University,131159,Accepted  ,3.38,,,,,,30,,,Political Science,4,14,,TX,PrivA,,
2016,American University,131159,Accepted  ,3.58,,2070,700,770,600,,730,690,Biology  ,14,11,,CA, PubR,,checked
2018,American University,131159,Accepted  ,3.3,,,,,,34,,,Undecided - Liberal Arts & Sciences,1,3,EA  ,CT,PrivR,,
2017,American University,131159,Not Accepted,3.16,,,,,,,,,Business - Administration ,2,0,,MA, PubR,,
2016,American University,131159,Accepted  ,3.4,,2050,700,650,700,,,,,4,4,,CA, PubR,,checked
2016,American University,131159,Accepted  ,3.88,,,,,,,,,Environmental Science  ,7,2,,CA, PubR,"$15,000 ",
2019,American University,131159,Accepted  ,3.4,,,,,,,,,,10,19,,MA,PubA,,
2015,American University,131159,Accepted  ,4,,,,,,,740,720,Environmental Science  ,8,2,,CT, PubR,,
2016,American University,131159,Accepted (Spring Semester),3.66,,,,,,,,,Art - Graphic Design,17,4,,CA, PubR,,checked
2017,American University,131159,Accepted  ,3.63,,,500,590,,,,,Business   ,10,4,,CA,PubA,,
2015,American University,131159,Not Accepted,3.29,1500,1580,530,500,550,,,,Psychology,2,0,,MA, PubR,,
2018,American University,131159,Accepted  ,3.7,,1200,630,570,,,,,Undecided - Liberal Arts & Sciences,2,1,EA  ,CT, PubR,,
2016,American University,131159,Accepted  ,3.4,,1960,,,,,740,610,International Studies,2,,,,PrivR,,checked
2017,American University,131159,Accepted  ,3.77,,1470,710,760,,,770,720,Political Science,20,16,,CA, PubR,,
2019,American University,131159,Accepted  ,3.7,,1510,720,790,,,780,710,Business   ,14,22,,CA, PubR,,checked
2019,American University,131159,Accepted  ,3.45,1320,1320,650,670,,,700,,Political Science,2,8,ED ,NJ, PubR,,
2019,American University,131159,Accepted  ,3.4,,,,,,32,,,Communication,10,6,,NJ, PubR,"$40,000 ",
2018,American University,131159,Accepted (Spring Semester),3.9,,,,,,,,,Business - Marketing,10,,,CA, PubR,,
2018,American University,131159,Accepted  ,3.63,,,,,,30,,,International Studies,20,2,,CA, PubR,,
2015,American University,131159,Accepted  ,3.55,1900,1900,620,580,700,,,,Sociology,12,6,,CA, PubR,,
2016,American University,131159,Waitlisted,3.17,,,,,,,720,,,12,14,,NJ, PubR,,checked
2018,American University,131159,Accepted  ,3.4,,1320,690,630,,,,,Undecided - Liberal Arts & Sciences,0,1,EA  ,CT, PubR,,
2016,American University,131159,Accepted  ,3.7,,,,,,,,,,2,,,,PrivR,,
2018,American University,131159,Waitlisted,3.37,,1500,740,760,,,630,630,Undecided - Liberal Arts & Sciences,14,24,,CT,PubA,,
2016,American University,131159,Accepted  ,3.41,,,,,,,,,Business   ,2,4,,CT, PubR,"$15,000 ",checked
2016,American University,131159,Not Accepted,3.05,,,,,,,,,,4,3,,CA,PrivR,,checked
2018,American University,131159,Accepted  ,3.75,,,640,630,,,,,Political Science,,,,CA,PrivR,,
2019,American University,131159,Accepted  ,3.96,,,,,,31,,,Public Health ,14,5,,WA, PubR,"$44,000 ",
2016,American University,131159,Accepted (Spring Semester),3.45,,,,,,,,,Economics ,12,14,,CA,PrivR,"$15,000 ",
2018,American University,131159,Accepted  ,3.75,,1330,690,640,,31,,,Undecided - Liberal Arts & Sciences,16,18,,MD, PubR,"$40,000 ",
2019,American University,131159,Waitlisted,3.2,1400,1410,670,740,,,,,Business   ,,,,NJ, PubR,,
2015,American University,131159,Accepted  ,3.15,1690,1730,560,570,600,,,,,,,,CA,PrivR,,
2019,American University,131159,Alternate Admission,2.8,1420,1420,640,780,,,,,Psychology,0,0,,MA, PubR,,
2016,American University,131159,Accepted  ,3.48,,,,,,33,710,660,Political Science,20,14,,CA, PubR,"$15,000 ",
2018,American University,131159,Waitlisted,3.8,,,,,,33,,,Political Science,,,,CA, PubR,,
2017,American University,131159,Waitlisted,3.86,,,,,,35,790,790,International Studies,18,10,,CA, PubR,,
2016,American University,131159,Accepted (Spring Semester),3.55,,,,,,,730,690,,15,13,,CA,PrivR,,checked
2015,American University,131159,Accepted  ,3.04,,,,,,,,,Public Health ,12,10,,CA, PubR,,
2017,American University,131159,Not Accepted,3.5,,,,,,,,,Undecided,2,5,,NJ, PubR,,checked
2017,American University,131159,Accepted (Spring Semester),3.95,,,,,,,,,Undecided,6,1,,CA,PubA,,
2018,American University,131159,Accepted (Spring Semester),3,,1250,700,550,,,,,Undecided - Liberal Arts & Sciences,3,1,EA  ,CT, PubR,,
2019,American University,131159,Accepted  ,4,,,,,,32,,,,,,,CA, PubR,,
2016,American University,131159,Accepted  ,3.52,,2080,700,690,690,,680,640,,22,,,WA,PubA,,checked
2016,American University,131159,Accepted (Spring Semester),3.35,,1900,640,600,660,,,,Psychology,8,7,,CA, PubR,,checked
2017,American University,131159,Accepted  ,4,,,,,,,,,Political Science,8,5,,NJ, PubR,,
2018,American University,131159,Accepted (Spring Semester),3.09,,,,,,25,,,Undecided - Liberal Arts & Sciences,2,8,,NJ, PubR,,
2017,American University,131159,Waitlisted,3.81,,,,,,,,,Biology  ,3,3,EA  ,CA,PrivR,,
2016,American University,131159,Accepted (Spring Semester),3.33,,,,,,,,,,4,,,NJ,PrivR,,checked
2018,American University,131159,Accepted  ,3,,,,,,29,,,Undecided - Liberal Arts & Sciences,1,5,ED ,CT, PubR,,
2015,American University,131159,Accepted  ,2.96,2070,2050,660,720,690,,,,Undecided,16,4,,CA,PrivA,"$60,000 ",
2016,American University,131159,Accepted  ,3.66,,,,,,,,,,12,6,,WA,PrivR,,checked
2019,American University,131159,Accepted  ,3.27,,,,,,31,,,History,10,10,,MA, PubR,,
2019,American University,131159,Waitlisted,3.73,,1410,690,720,,,,,,12,8,,CA,PrivR,,
2017,American University,131159,Accepted  ,3.12,,,,,,,,,Undecided,0,4,EA  ,NJ, PubR,,
2019,American University,131159,Accepted  ,3.8,,1370,760,610,,,,,International Studies,18,12,,TX,PubA,,
2019,American University,131159,Waitlisted,3.64,,,,,,34,,,Political Science,22,10,,CA, PubR,,
2016,American University,131159,Accepted  ,3.41,,,,,,,710,670,Undecided - School of International Service,12,8,,CA, PubR,"$15,000 ",
2017,American University,131159,Accepted (Spring Semester),3.79,,,,,,,,,Political Science,10,4,,CA,PubA,,
2017,American University,131159,Not Accepted,3.26,,1260,670,590,,,,,Journalism,,,,CT, PubR,,
2015,American University,131159,Accepted  ,3.51,2000,2000,660,620,720,,,,Undecided,12,28,,MA,PubA,,
2018,American University,131159,Accepted  ,4,,1430,710,720,,,,,Political Science,23,16,,TX, PubR,"$68,000 ",
2019,American University,131159,Not Accepted,2.25,,1200,640,560,,,,,Political Science,24,0,ED ,NY,PubA,,
2018,American University,131159,Accepted  ,3.87,,,,,,35,,,English  ,7,6,,NJ,PrivR,"$80,000 ",
2017,American University,131159,Accepted (Spring Semester),3.75,,,,,,,,,Communication - Public Relations,12,16,,CA,PrivA,,
2019,American University,131159,Accepted  ,2.95,,,,,,,,,Political Science,12,4,,WA,PubA,,
2015,American University,131159,Accepted  ,3.6,1900,1910,660,630,620,,,,Undecided,2,4,,CT, PubR,,
2016,American University,131159,Waitlisted,3.5,,,,,,,730,680,International Studies,18,16,,CA, PubR,,checked
2016,American University,131159,Waitlisted,3.62,,,,,,,,,,8,8,,CA, PubR,,checked
2017,American University,131159,Accepted  ,3.8,,,,,,,,,Business - Administration ,2,6,,NJ, PubR,,
2017,American University,131159,Waitlisted,4,,,,,,34,770,720,Business - Finance,20,4,,TX, PubR,,
2019,American University,131159,Accepted  ,3.37,,,,,,30,,,,10,4,,CA,PrivR,,
2019,American University,131159,Accepted  ,3,,,,,,33,,,Undecided,2,0,EA  ,CT, PubR,,
2018,American University,131159,Waitlisted,3.7,,1380,710,670,,,,,International Studies,4,1,EA  ,NY, PubR,,
2016,American University,131159,Waitlisted,3.5,,,,,,,,,English  ,18,16,,CA, PubR,"$72,000 ",
2016,American University,131159,Accepted  ,3.55,,1770,590,600,580,,460,,Economics ,4,6,,NJ,PrivR,,checked
2018,American University,131159,Accepted  ,3.58,,,,,,30,,,Political Science,10,20,,CA, PubR,"$32,000 ",
2017,American University,131159,Waitlisted,3.57,,1490,720,770,,,670,,Undecided,10,12,,MA, PubR,,
2019,American University,131159,Accepted  ,3.73,,,,,,29,,,Undecided,12,6,,CA, PubR,,
2019,American University,131159,Accepted  ,3.45,,,,,,31,,,Undecided - Business,0,10,,NJ, PubR,,
2018,American University,131159,Accepted  ,3.62,,1260,630,630,,,800,,Business - Management ,0,0,,,,,
2016,American University,131159,Accepted  ,4,,1820,630,610,580,,,,Communication,,,,CA,PubA,"$15,000 ",
2018,American University,131159,Waitlisted,3.9,,,,,,35,,,Business   ,,,,CA, PubR,,
2018,American University,131159,Accepted  ,3.45,,,600,690,,,,,Undecided - Liberal Arts & Sciences,,,,MA,PrivR,,
2018,American University,131159,Waitlisted,4,,1460,750,710,,,700,,Engineering ,28,24,,TX,PubA,,
2017,American University,131159,Accepted  ,3.5,,,,,,,,,,10,0,ED ,OH,PrivA,,
2018,American University,131159,Accepted (Spring Semester),3.74,,,710,670,,,730,710,International Studies,14,11,,MA, PubR,,checked
2019,American University,131159,Accepted  ,3.54,,1400,690,710,,,650,600,International Studies,12,6,,CA,PrivR,,
2016,American University,131159,Waitlisted,3.65,,,,,,,,,International Studies,24,,,TX,PubA,,checked
2016,American University,131159,Accepted  ,3.82,,1960,630,650,680,,670,640,Journalism - Media Studies,2,1,EA  ,NY, PubR,"$15,000 ",
2015,American University,131159,Accepted  ,3.38,1950,1950,690,630,630,,670,640,Neuroscience,4,16,,NJ, PubR,,
2020,American University,131159,Waitlisted,4,,,,,,34,,,Undecided,18,13,,GA, PubR,,checked
2020,American University,131159,Accepted  ,4,,,,,,30,,,Communication,12,6,,CA,PrivR,"$40,000 ",
2020,American University,131159,Accepted  ,3.83,,,,,,33,,,Sociology,14,10,,CA, PubR,"$60,000 ",
2020,American University,131159,Withdrawn,3.7,,,,,,32,,,Undecided - Liberal Arts & Sciences,4,16,,CT, PubR,,
2020,American University,131159,Accepted  ,3.6,,,,,,31,750,,Theater - Musical ,0,8,,MA, PubR,,
2020,American University,131159,Accepted  ,3.2,,,,,,29,,,Undecided,4,26,,NJ,PrivR,,
2020,American University,131159,Accepted  ,3.5,,,,,,32,590,580,Undecided,24,10,,CA, PubR,"$60,000 ",
2020,American University,131159,__ Not reported,3.07,1190,1200,630,570,,25,,,Biology ,8,0,,TX,PrivR,,checked
2020,American University,131159,__ Not reported,3.21,1360,1360,660,700,,,,,Psychology ,3,20,EA  ,NC, PubR,,checked
2020,American University,131159,Accepted  ,3.65,1480,1510,740,770,,,,,Undecided,18,14,,CA,PrivR,,
2020,American University,131159,Accepted  ,4,,,,,,33,760,720,Public Health ,12,16,EA  ,NC,PubA,"$80,000 ",
2020,American University,131159,Accepted  ,3.2,,,,,,29,,,Political Science,10,12,ED II,NJ, PubR,,
2020,American University,131159,Waitlisted,3.3,1120,1120,540,580,,,,,Undecided,6,8,,CT, PubR,,
2020,American University,131159,Accepted  ,3.38,1470,1470,710,760,,,790,770,Political Science,19,11,,CA, PubR,,
2020,American University,131159,Accepted  ,3.95,1400,1400,740,660,,,,,Political Science,4,,REA,TX,PubA,"$40,000 ",
2020,American University,131159,Accepted  ,3.07,,,,,,28,,,Women & Gender Studies,12,10,,NJ, PubR,,
2020,American University,131159,Accepted (Spring Semester),3.13,,1290,730,560,,,600,670,Film - Media Arts ,6,22,,MA, PubR,,
2020,American University,131159,Accepted  ,3.39,,,,,,27,,,Film - Communications,0,7,,MA, PubR,,
2020,American University,131159,Alternate Admission,3.71,1400,,720,680,,,,,International Studies,14,12,,CA,PrivA,"$40,000 ",
2020,American University,131159,Accepted  ,3,,1290,690,610,,,,,Biology ,16,16,,MD, PubR,,checked
2020,American University,131159,Accepted  ,4,,,,,,35,800,780,Political Science,18,8,,TX,PrivR,,
2020,American University,131159,Accepted  ,3.85,,,,,,32,,,International Studies,19,12,,TX,PrivR,"$60,000 ",checked
2020,American University,131159,Accepted  ,3.97,1270,1270,660,610,,25,,,Government,1,9,REA,TX,PubA,,
2020,American University,131159,Accepted  ,4,,1560,760,800,,,780,770,Business - Administration,18,20,,NJ, PubR,,
2020,American University,131159,Accepted  ,3.53,,,,,,31,,,Journalism,14,5,,CA, PubR,,
2020,American University,131159,Accepted  ,,,,,,,21,,,Psychology ,16,12,,CT,PubA,,
2020,American University,131159,Accepted  ,3.92,1360,1360,640,720,,34,,,Biology ,3,14,,NC, PubR,"$80,000 ",checked
2020,American University,131159,Withdrawn,4,1430,1480,800,680,,,,,Political Science,6,17,REA,TX,PubA,,
2020,American University,131159,Accepted  ,3.92,,1330,720,610,,34,700,720,,6,8,,CA,PrivR,"$72,000 ",
2020,American University,131159,Accepted (Spring Semester),3.17,,1450,770,680,,,,,Political Science,2,23,,MA, PubR,,
2015,Amherst College,164465,Accepted  ,3.65,2010,2040,700,690,650,,740,710,Biology  ,12,28,,MA, PubR,,
2016,Amherst College,164465,Not Accepted,3.78,,,,,,,,,International Studies,10,2,,CA, PubR,"$15,000 ",
2019,Amherst College,164465,Accepted  ,4,,1550,760,790,,,800,770,Biology - Biological Sciences,18,12,,CA, PubR,,
2017,Amherst College,164465,Accepted  ,3.26,,,,,,,,,Art - Studio,,,ED ,CT,PubA,,
2017,Amherst College,164465,Accepted  ,4,,,,,,,,,Biology  ,12,24,,NJ,PubA,,
2019,Amherst College,164465,Accepted  ,3.95,1590,,800,790,,,750,790,Pre - Health Sciences,24,6,,MI,Homeschool,,checked
2018,Amherst College,164465,Not Accepted,3.6,,1330,650,680,,,,,Anthropology ,4,3,ED ,CT,PrivA,,
2016,Amherst College,164465,Waitlisted,4,,,,,,35,770,670,Biochemistry   ,26,24,,CA,PrivR,,
2018,Amherst College,164465,Waitlisted,4,,,790,790,,,800,800,Undecided - Liberal Arts & Sciences,20,0,,GA,PrivR,,
2018,Amherst College,164465,Accepted  ,3.5,,,,,,31,,,History,8,7,,CA, PubR,,
2015,Amherst College,164465,Waitlisted,3.8,,,,,,,,,International Studies,18,,,NY, PubR,,
2018,Amherst College,164465,Not Accepted,3.85,,1520,,,,32,,,Political Science,18,18,,TX, PubR,,
2016,Amherst College,164465,Not Accepted,4,,1970,600,690,680,,720,620,Math ,20,22,,NJ,PubA,"$15,000 ",
